pair,year_season,BC,area_overlap_m2,foi_cor,foi_space,num_contacts,num_locs
"(np.int64(151565), np.int64(155122))",2024_Gestation,0.04203390775193974,1040303.3706704885,-2.1599213887408843e-08,9.160085902665522e-09,0,15098
"(np.int64(151565), np.int64(155140))",2024_Gestation,0.000968378156903004,3091721.446044861,,,0,15104
"(np.int64(151565), np.int64(155144))",2024_Fawning,0.8271375841449714,937714.4149176454,8.302721211595413e-05,8.912508821352362e-06,784,8784
"(np.int64(151565), np.int64(155144))",2024_Gestation,0.9806018514746575,2913231.0552088055,0.00024282937414318905,1.7998673154773967e-06,7320,15080
"(np.int64(151565), np.int64(155144))",2024_Lactation,0.9843453786092653,1582327.0492945267,0.0003435261100698654,4.359635111356884e-06,1702,3721
"(np.int64(151565), np.int64(155156))",2024_Gestation,0.029916779475472128,1771619.3948623335,-5.1273568677802264e-08,9.364302815836829e-09,0,15131
"(np.int64(151565), np.int64(155161))",2024_Fawning,0.9081928549787791,1187913.7788757838,0.00018612406505854196,3.1426100650060056e-06,2162,8784
"(np.int64(151565), np.int64(155161))",2024_Gestation,0.9978098447836885,2944352.6750524575,0.00035491003716938823,1.7173374277261181e-06,10332,15449
"(np.int64(151565), np.int64(155161))",2024_Lactation,0.96605540372748,2394477.5664705,0.00022845250916725315,2.6146810845174454e-06,1284,3706
"(np.int64(151569), np.int64(151578))",2024_Fawning,0.022840847891452895,33184.99187471484,-1.8689516484941247e-08,1.7813356876012303e-08,0,8784
"(np.int64(151569), np.int64(151578))",2024_Gestation,0.038838273910577106,314118.4304117908,-4.8796118595738065e-08,3.572056103428459e-08,0,8771
"(np.int64(151569), np.int64(151581))",2024_Fawning,0.156501829738666,472626.7032893866,2.746507218148371e-06,5.191791918508986e-07,30,8784
"(np.int64(151569), np.int64(151581))",2024_Gestation,0.13072185695144528,529890.2776262396,1.5869870030802201e-06,2.2296993449139715e-07,13,7340
"(np.int64(151569), np.int64(151581))",2024_Lactation,0.1398703036590537,275563.04636898194,4.152611503897846e-07,3.174209308000562e-07,3,3736
"(np.int64(151569), np.int64(151585))",2024_Gestation,0.004592602813534263,36326.905633492446,-1.776323524355422e-08,3.344729156182256e-09,0,8771
"(np.int64(151569), np.int64(155138))",2024_Fawning,0.5895756033688084,1046819.7967060036,7.646117788062811e-06,2.060831850200848e-06,122,8784
"(np.int64(151569), np.int64(155138))",2024_Gestation,0.686945982019791,1460614.7113456253,3.0200078460772657e-06,1.060272150478774e-06,64,8177
"(np.int64(151569), np.int64(155138))",2024_Lactation,0.5711799859691347,670991.9045768945,6.295833920463912e-06,2.3337953455683747e-06,26,3760
"(np.int64(151569), np.int64(155141))",2024_Gestation,0.023997912172507966,120710.0161398964,-5.913776810057166e-08,2.1764253239873798e-08,0,6797
"(np.int64(151569), np.int64(155142))",2024_Lactation,0.01668066145916603,10737.841178424314,-1.219540078906613e-07,8.505651846500272e-08,0,3745
"(np.int64(151571), np.int64(151575))",2023_Fawning,0.017335316373112624,55498.64517023806,-7.02609481555998e-08,1.1446303098326938e-07,0,8784
"(np.int64(151571), np.int64(151575))",2023_Lactation,0.01726231512978476,95457.3367172313,-1.1743259011838511e-07,9.88555789878145e-08,0,13248
"(np.int64(151571), np.int64(151575))",2023_Rut,0.0941392969368217,793033.3233965437,-7.773197764725287e-08,9.565960012073576e-08,0,8281
"(np.int64(151571), np.int64(151576))",2024_Gestation,0.8255748755258845,1290619.9006629533,1.7236003775238764e-05,5.808023939904312e-06,241,7827
"(np.int64(151571), np.int64(151583))",2023_Rut,0.018580731835614178,354939.7776424944,-1.0956107996055427e-07,3.720787085677738e-08,0,13248
"(np.int64(151571), np.int64(151583))",2024_Gestation,0.01863183949271156,2839861.8276523445,-1.6936812178008448e-08,5.760613059939346e-09,0,10141
"(np.int64(151571), np.int64(151589))",2023_Fawning,0.5746841782628578,715561.1938665506,4.3669776064191e-05,1.0267240837673106e-05,252,8784
"(np.int64(151571), np.int64(151589))",2023_Gestation,0.9860417695663739,851089.0842823846,0.0004251838266525772,1.2537526048334264e-05,2557,6554
"(np.int64(151571), np.int64(151589))",2023_Lactation,0.2868051719875309,301091.62835831865,-6.685024179665701e-07,7.593500810699504e-06,22,13248
"(np.int64(151571), np.int64(151589))",2023_Rut,0.719996854890549,2584099.8769215634,3.9288017537560624e-05,6.7553752272597805e-06,470,13248
"(np.int64(151571), np.int64(151589))",2024_Gestation,0.8460148365027267,1381339.3634173553,1.5411522297486147e-05,4.259318484153821e-06,403,10141
